Company,Cluster,Industry
214E393&517F65b,40,Financial Services
D878A18dc1Fa1*7,7,Financial Services
7=91D57feE5FD38,10,Financial Services
E6409e504153^85,14,Financial Services
a=556d30a6491A8,10,Financial Services
65E6b13A7305f-4,10,Financial Services
1bcc662D806B*A5,24,Financial Services
F3A6-36Fbe4a8C9,7,Financial Services
C44617cb3e448#9,10,Financial Services
29$ce1373a6032E,10,Financial Services
!EE65f0fa131a37,3,Financial Services
7#7126604c6d913,7,Financial Services
Ff$7A621b05c76d,18,Financial Services
45FD9A%8b5Fb337,9,Financial Services
482b#aAFADa54B5,7,Financial Services
0AD2$165C1e7f55,10,Financial Services
BDF903f906807c=,10,Financial Services
c54bCcEb87B5$DA,5,Financial Services
FA35Bc4612394*0,7,Financial Services
d85FA3bf9bfE=15,7,Financial Services
E*CbAf0C8167367,7,Financial Services
2D1a6835F00Ed+B,7,Financial Services
b$C4C40E90488B0,14,Financial Services
119F5Ba4*63B51B,7,Financial Services
BB3f137a600!17d,7,Financial Services
d7E9ca3Ce47321$,7,Financial Services
9E4Ad9+0b5CcCdf,32,Financial Services
bdc1d3Caa6_0680,40,Financial Services
e70a6bdDD22$6B2,7,Financial Services
2343=091f0f1050,7,Financial Services
a4D-A095330F798,7,Financial Services
38C$76b2b97638D,31,Financial Services
F7$24F6C4eD8896,7,Financial Services
2Ba5b2b6%8A8617,7,Financial Services
77003Ef8a085de#,7,Consumer Defensive
8bf7adA#02a6F87,6,Consumer Defensive
0Ee*Ae6108a70e0,6,Consumer Defensive
^B5061CEbB9Cc3d,6,Consumer Defensive
5c+9f7bC1962a21,18,Consumer Defensive
3_E153C44B4b8b5,32,Consumer Defensive
9Af3$fD281Ff030,6,Consumer Defensive
fE9$56905C88b58,6,Consumer Defensive
1$DB4559f41eD16,3,Consumer Defensive
44^49E08363fFb2,6,Consumer Defensive
03c51070b9294#F,6,Consumer Defensive
9377BC6E1+E2072,4,Consumer Defensive
2433!9fCe257dED,6,Consumer Defensive
7990A2fF-d044f4,7,Consumer Defensive
A4303998D55*319,18,Consumer Defensive
3d5377362C7b=D8,24,Consumer Defensive
1c970C75$08a305,10,Consumer Defensive
7Ab&d9a599D160A,6,Consumer Defensive
D8e85ec5EF8a$C6,6,Consumer Defensive
Ed!7e1bFcBA51aA,6,Consumer Defensive
ce465C3fFbA459_,7,Consumer Defensive
b56C2E2&A5f64E9,7,Consumer Defensive
!805A1344BdDd62,6,Consumer Defensive
bBee9d472+bF79b,32,Consumer Defensive
0EE4e88=1772FC3,7,Consumer Defensive
57a397=Fe194fda,10,Consumer Defensive
1265cf3C480-86c,6,Consumer Defensive
9B51c4cDABf5+C7,9,Consumer Defensive
f15337!3D31dFA5,32,Consumer Defensive
2018C$C317B5091,3,Consumer Defensive
076185b2@bA876b,28,Consumer Defensive
22c3BDd15#6B5ad,7,Consumer Defensive
5$51A4cDe2e847C,7,Consumer Defensive
!D44E194963939E,6,Consumer Defensive
7A4717F^4AD425f,2,Consumer Defensive
312194C25E01*9C,15,Consumer Defensive
07c327=9664eb03,6,Consumer Defensive
Dcef6_1a46A9Fb0,9,Consumer Defensive
9d88Cd=e5325977,31,Consumer Defensive
6F46e%Ac5d16422,3,Consumer Defensive
DC87390dE38@953,15,Consumer Defensive
C6F8d@fa0145e69,25,Consumer Defensive
14%00F2e769A551,3,Consumer Defensive
522A300a-9eD035,18,Consumer Defensive
521cd7B2D1f@4a2,12,Consumer Defensive
e5003CE50+C57ef,5,Consumer Defensive
2&7719E0f76c664,14,Consumer Defensive
2d079F2F4b92&Ee,15,Consumer Defensive
B80e0F_f1028f44,24,Consumer Defensive
5f7=18B01B963B4,12,Consumer Defensive
7#8bd37139c77c4,9,Consumer Defensive
C401E@3f6BF9966,5,Consumer Defensive
a7BA4E63382_5e8,40,Consumer Defensive
02-Dcbcf1a96dE2,31,Consumer Defensive
5E152bee9&f54DC,10,Consumer Defensive
084bb15CB@94426,3,Consumer Defensive
5207ab69BE8*517,3,Consumer Defensive
faae64&59b33240,24,Consumer Defensive
aa43865e88F4#78,5,Consumer Defensive
c9%2FdA7d3f1142,3,Consumer Defensive
aDF8BdF34B2!6A4,2,Consumer Defensive
0bB8Cd7b8#0557B,34,Consumer Defensive
7c23Aa&50160e71,24,Consumer Defensive
4D2147eeBc0^957,28,Consumer Defensive
45946A165#C51f2,3,Utilities
c3&9eefEd7228D5,31,Utilities
ef1057$BAa9Df72,6,Utilities
2&41ad86bE1b85E,6,Utilities
eDfAE64c_2b0e23,25,Utilities
Fc2A4b@68647a31,3,Utilities
d1309_5AAb6d056,3,Utilities
0Fd93C6fbE892+d,6,Utilities
9913FB09*8fdAC4,6,Utilities
9#65E11641BE4D6,6,Utilities
5f96507E06$E5e6,6,Utilities
6517cDc73Cd!340,10,Utilities
F-DfF41C19D658E,6,Utilities
6@c2042388eEe4E,32,Utilities
8380$9Aa46acf63,32,Utilities
D+235eF0726CA6f,32,Utilities
264ebaE86509#0f,32,Utilities
2E61b#06AF4cE00,3,Utilities
45_72A225328707,4,Utilities
f40cf48f=E967e0,6,Utilities
B7fD59cc4626@0a,6,Utilities
3cc0b_84BAB34aD,6,Utilities
cc3e4a03+c8310C,32,Utilities
e32cB85*7D716DC,32,Utilities
e30548&35D3C7b5,3,Utilities
